reps,0
avg_depth_deg,180.0
depth_score_pct,100.0
control_score_pct,80.0
tempo_score_pct,75.0
rom_score_pct,60.0
accuracy_pct,81.0
avg_rep_duration_s,0.0
rep_duration_cv_pct,0.0
notes,Try squatting deeper.
